occurrenceId,verbatimScientificName_(GRA),scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species_(GBIF),canonicalName,authorship,usageKey,acceptedUsageKey
,Tropidodipsas fasciata,"Tropidodipsas fasciata Günther, 1858",2456613,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidodipsas,Tropidodipsas fasciata,Tropidodipsas fasciata,"Günther, 1858",2456613,
,Tropidodipsas fischeri,"Tropidodipsas fischeri (Boulenger, 1894)",2458254,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidodipsas,Tropidodipsas fischeri,Tropidodipsas fischeri,"(Boulenger, 1894) ",2458254,
,Tropidodipsas philippii,"Tropidodipsas philippii (Jan, 1863)",2456590,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidodipsas,Tropidodipsas philippii,Tropidodipsas philippii,"(Jan, 1863) ",2456590,
,Tropidodipsas repleta,"Tropidodipsas repleta Smith, Lemos-Espinal, Hartman & Chiszar, 2005",5789830,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidodipsas,Tropidodipsas repleta,Tropidodipsas repleta,"Smith, Lemos-Espinal, Hartman & Chiszar, 2005",5789830,
,Tropidodipsas sartorii,"Tropidodipsas sartorii Cope, 1863",2456597,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidodipsas,Tropidodipsas sartorii,Tropidodipsas sartorii,"Cope, 1863",2456597,
,Tropidodipsas zweifeli,"Tropidodipsas zweifeli (Liner & Wilson, 1970)",2456587,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidodipsas,Tropidodipsas zweifeli,Tropidodipsas zweifeli,"(Liner & Wilson, 1970) ",2456587,
,Tropidodryas serra,"Tropidodryas serra (Schlegel, 1837)",5223067,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidodryas,Tropidodryas serra,Tropidodryas serra,"(Schlegel, 1837) ",5223067,
,Tropidodryas striaticeps,"Tropidodryas striaticeps (Cope, 1870)",5223065,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Colubridae,Tropidodryas,Tropidodryas striaticeps,Tropidodryas striaticeps,"(Cope, 1870) ",5223065,
,Tropidolaemus huttoni,"Tropidolaemus huttoni (Smith, 1949)",2443718,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Viperidae,Tropidolaemus,Tropidolaemus huttoni,Tropidolaemus huttoni,"(Smith, 1949) ",2443718,
,Tropidolaemus laticinctus,"Tropidolaemus laticinctus (Kuch, Gumprecht & Melaun, 2007)",2443720,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Squamata,,Viperidae,Tropidolaemus,Tropidolaemus laticinctus,Tropidolaemus laticinctus,"(Kuch, Gumprecht & Melaun, 2007) ",2443720,
