kingdom,phylum,class,order,family,genus,species
Animalia,Chordata,Aves,Anseriformes,Anatidae,Polysticta,Polysticta stelleri
Animalia,Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Porphyrio porphyrio
Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana parva
Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana porzana
Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana pusilla
Animalia,Chordata,Aves,Pteroclidiformes,Pteroclididae,Pterocles,Pterocles alchata
Animalia,Chordata,Aves,Pteroclidiformes,Pteroclididae,Pterocles,Pterocles orientalis
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma feae
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma madeira
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus assimilis
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus mauretanicus
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus yelkouan
Animalia,Chordata,Aves,Passeriformes,Corvidae,Pyrrhocorax,Pyrrhocorax pyrrhocorax
Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra avosetta
Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta krueperi
Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta whiteheadi
Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,Sternula albifrons
Animalia,Chordata,Aves,Charadriiformes,Laridae,Hydroprogne,Hydroprogne caspia
Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna dougallii
Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna hirundo
Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna paradisaea
Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus,Thalasseus sandvicensis
Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix nebulosa
Animalia,Chordata,Aves,Strigiformes,Strigidae,Strix,Strix uralensis
Animalia,Chordata,Aves,Strigiformes,Strigidae,Surnia,Surnia ulula
Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia melanothorax
Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia nisoria
Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia ruppeli
Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia sarda
Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia undata
Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,Tadorna ferruginea
Animalia,Chordata,Aves,Galliformes,Phasianidae,Tetrao,Tetrao urogallus
Animalia,Chordata,Aves,Otidiformes,Otididae,Tetrax,Tetrax tetrax
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa glareola
Animalia,Chordata,Aves,Charadriiformes,Turnicidae,Turnix,Turnix sylvaticus
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Xenus,Xenus cinereus
