"occurrenceId","verbatimScientificName","scientificName","key","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","usageKey","acceptedUsageKey"
NA,"Hydrocotyle ranunculoides L.f.","Hydrocotyle ranunculoides L.fil.",7978544,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Hydrocotyle","Hydrocotyle ranunculoides","Hydrocotyle ranunculoides","L.fil.",7978544,7978544
NA,"Impatiens glandulifera Royle","Impatiens glandulifera Royle",2891770,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","Impatiens","Impatiens glandulifera","Impatiens glandulifera","Royle",2891770,2891770
NA,"Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal","Koenigia polystachya (Wall. ex Meisn.) T.M.Schust. & Reveal",8848208,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Koenigia","Koenigia polystachya","Koenigia polystachya","(Wall. ex Meisn.) T.M.Schust. & Reveal",8848208,8848208
NA,"Lagarosiphon major (Ridley) Moss","Lagarosiphon major (Ridl.) Moss",2865565,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","Lagarosiphon","Lagarosiphon major","Lagarosiphon major","(Ridl.) Moss",2865565,2865565
NA,"Lampropeltis getula (Linnaeus, 1766)","Lampropeltis getula (Linnaeus, 1766)",9799308,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Squamata","","Colubridae","Lampropeltis","Lampropeltis getula","Lampropeltis getula","(Linnaeus, 1766) ",9799308,9799308
NA,"Lepomis gibbosus (Linnaeus, 1758)","Lepomis gibbosus (Linnaeus, 1758)",2394486,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","","Perciformes","Centrarchidae","Lepomis","Lepomis gibbosus","Lepomis gibbosus","(Linnaeus, 1758) ",2394486,2394486
NA,"Lespedeza cuneata (Dum.Cours.) G.Don","Lespedeza cuneata (Dum.Cours.) G.Don",8114276,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Lespedeza","Lespedeza cuneata","Lespedeza cuneata","(Dum.Cours.) G.Don",8114276,8114276
NA,"Limnoperna fortunei (Dunker, 1857)","Limnoperna fortunei (Dunker, 1857)",5855350,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Limnoperna","Limnoperna fortunei","Limnoperna fortunei","(Dunker, 1857) ",5855350,5855350
NA,"Lithobates catesbeianus (Shaw, 1802)","Lithobates catesbeianus (Shaw, 1802)",2427091,"EXACT",99,"ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus","Lithobates catesbeianus","(Shaw, 1802) ",2427091,2427091
NA,"Ludwigia grandiflora (Michx.) Greuter & Burdet","Ludwigia grandiflora (Michx.) Greuter & Burdet",5421039,"EXACT",100,"ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia grandiflora","Ludwigia grandiflora","(Michx.) Greuter & Burdet",5421039,5421039
