occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Myocastor coypus (Molina, 1782)","Myocastor coypus (Molina, 1782)",4264680,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Myocastoridae,Myocastor,Myocastor coypus,Myocastor coypus,"(Molina, 1782) ",4264680,
,Myriophyllum aquaticum (Vell.) Verdc.,Myriophyllum aquaticum (Vell.) Verdc.,5361785,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum aquaticum,Myriophyllum aquaticum,(Vell.) Verdc.,5361785,
,Myriophyllum heterophyllum Michaux,Myriophyllum heterophyllum Michx.,5361762,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum heterophyllum,Myriophyllum heterophyllum,Michx.,5361762,
,"Nasua nasua (Linnaeus, 1766)","Nasua nasua (Linnaeus, 1766)",2433536,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua,Nasua nasua,"(Linnaeus, 1766) ",2433536,
,Neltuma juliflora (Sw.) Raf.,Prosopis juliflora (Sw.) DC.,2970805,EXACT,100,SYNONYM,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Prosopis,Prosopis juliflora,Neltuma juliflora,(Sw.) Raf.,2970805,5358460
,"Nyctereutes procyonoides (Gray, 1834)","Nyctereutes procyonoides (Gray, 1834)",2434552,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes procyonoides,Nyctereutes procyonoides,"(Gray, 1834) ",2434552,
,"Ondatra zibethicus (Linnaeus, 1766)","Ondatra zibethicus (Linnaeus, 1766)",5219858,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,Ondatra zibethicus,Ondatra zibethicus,"(Linnaeus, 1766) ",5219858,
,"Oxyura jamaicensis (Gmelin, 1789)","Oxyura jamaicensis (J.F.Gmelin, 1789)",2498305,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura jamaicensis,Oxyura jamaicensis,"(J.F.Gmelin, 1789) ",2498305,
,"Pacifastacus leniusculus (Dana, 1852)","Pacifastacus leniusculus (Dana, 1852)",2226990,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Astacidae,Pacifastacus,Pacifastacus leniusculus,Pacifastacus leniusculus,"(Dana, 1852) ",2226990,
,Parthenium hysterophorus L.,Parthenium hysterophorus L.,3086784,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Parthenium,Parthenium hysterophorus,Parthenium hysterophorus,L.,3086784,
,"Perccottus glenii Dybowski, 1877","Perccottus glenii Dybowski, 1877",2390064,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,,Perciformes,Odontobutidae,Perccottus,Perccottus glenii,Perccottus glenii,"Dybowski, 1877",2390064,
,Persicaria perfoliata (L.) H.Gross,Persicaria perfoliata (L.) H.Gross,4033648,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria perfoliata,Persicaria perfoliata,(L.) H.Gross,4033648,
,Pistia stratiotes L.,Pistia stratiotes L.,2870583,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Pistia,Pistia stratiotes,Pistia stratiotes,L.,2870583,
,"Plotosus lineatus (Thunberg, 1787)","Plotosus lineatus (Thunberg, 1787)",7965247,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Siluriformes,Plotosidae,Plotosus,Plotosus lineatus,Plotosus lineatus,"(Thunberg, 1787) ",7965247,
,Pontederia crassipes Martius,Pontederia crassipes Mart.,2765942,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Liliopsida,Commelinales,Pontederiaceae,Pontederia,Pontederia crassipes,Pontederia crassipes,Mart.,2765942,
,"Procambarus clarkii (Girard, 1852)","Procambarus clarkii (Girard, 1852)",2227300,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,Procambarus clarkii,Procambarus clarkii,"(Girard, 1852) ",2227300,
,"Procambarus virginalis Lyko, 2017","Procambarus virginalis Lyko, 2017",9442269,EXACT,100,ACCEPTED,SPECIES,Animalia,Arthropoda,Malacostraca,Decapoda,Cambaridae,Procambarus,Procambarus virginalis,Procambarus virginalis,"Lyko, 2017",9442269,
,"Procyon lotor (Linnaeus, 1758)","Procyon lotor (Linnaeus, 1758)",5218786,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,Procyon lotor,"(Linnaeus, 1758) ",5218786,
,"Pseudorasbora parva (Temminck & Schlegel, 1846)","Pseudorasbora parva (Temminck & Schlegel, 1846)",2362868,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,,Cypriniformes,Cyprinidae,Pseudorasbora,Pseudorasbora parva,Pseudorasbora parva,"(Temminck & Schlegel, 1846) ",2362868,
,Pueraria montana (Lour.) Merr. var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,Pueraria montana var. lobata (Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,2977647,EXACT,100,ACCEPTED,VARIETY,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pueraria,Pueraria montana,Pueraria montana lobata,(Willd.) Maesen & S.M.Almeida ex Sanjappa & Predeep,2977647,
,"Pycnonotus cafer (Linnaeus, 1766)","Pycnonotus cafer (Linnaeus, 1766)",2486131,EXACT,99,ACCEPTED,SPECIES,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus cafer,Pycnonotus cafer,"(Linnaeus, 1766) ",2486131,
,"Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009","Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009",5824863,EXACT,100,ACCEPTED,SPECIES,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Rugulopteryx,Rugulopteryx okamurae,Rugulopteryx okamurae,"(E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009",5824863,
,Salvinia molesta D.S.Mitch.,Salvinia ×molesta D.S.Mitch.,5274863,EXACT,100,ACCEPTED,SPECIES,Plantae,Tracheophyta,Polypodiopsida,Salviniales,Salviniaceae,Salvinia,Salvinia molesta,Salvinia molesta,D.S.Mitch.,5274863,
,"Sciurus carolinensis Gmelin, 1788","Sciurus carolinensis Gmelin, 1788",5219681,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,Sciurus carolinensis,"Gmelin, 1788",5219681,
,"Sciurus niger Linnaeus, 1758","Sciurus niger Linnaeus, 1758",5219683,EXACT,100,ACCEPTED,SPECIES,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,Sciurus niger,"Linnaeus, 1758",5219683,
,"Solenopsis geminata (Fabricius, 1804)","Solenopsis geminata (Fabricius, 1804)",5035187,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis geminata,Solenopsis geminata,"(Fabricius, 1804) ",5035187,
