"","specieskey","totalOcc","scientificName","kingdom","phylum","class","order","family"
"32",2480487,843849,"Circus cyaneus (Linnaeus, 1766)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"146",7745240,852124,"Lanius collurio Linnaeus, 1758","Animalia","Chordata","Aves","Passeriformes","Laniidae"
"24",2480332,883911,"Pluvialis apricaria (Linnaeus, 1758)","Animalia","Chordata","Aves","Charadriiformes","Charadriidae"
"22",2480259,884173,"Recurvirostra avosetta Linnaeus, 1758","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae"
"50",2480801,888111,"Platalea leucorodia Linnaeus, 1758","Animalia","Chordata","Aves","Pelecaniformes","Threskiornithidae"
"59",2481047,928394,"Falco peregrinus Tunstall, 1771","Animalia","Chordata","Aves","Falconiformes","Falconidae"
"16",2477872,938281,"Dryocopus martius (Linnaeus, 1758)","Animalia","Chordata","Aves","Piciformes","Picidae"
"141",5232464,1290088,"Branta leucopsis (Bechstein, 1803)","Animalia","Chordata","Aves","Anseriformes","Anatidae"
"73",2481912,1317040,"Ciconia ciconia (Linnaeus, 1758)","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae"
"53",2480876,1350068,"Egretta garzetta (Linnaeus, 1766)","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae"
"151",9367409,1435346,"Sterna hirundo Linnaeus, 1758","Animalia","Chordata","Aves","Charadriiformes","Laridae"
"14",2475532,1452443,"Alcedo atthis (Linnaeus, 1758)","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae"
"131",5229168,1462661,"Milvus milvus (Linnaeus, 1758)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"30",2480449,1637915,"Haliaeetus albicilla (Linnaeus, 1758)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
"120",2498347,1800602,"Cygnus cygnus (Linnaeus, 1758)","Animalia","Chordata","Aves","Anseriformes","Anatidae"
"11",2474950,1930360,"Grus grus (Linnaeus, 1758)","Animalia","Chordata","Aves","Gruiformes","Gruidae"
"31",2480482,2362523,"Circus aeruginosus (Linnaeus, 1758)","Animalia","Chordata","Aves","Accipitriformes","Accipitridae"
