"","occurrenceId","verbatimScientificName","scientificName","specieskey","matchType","confidence","status","rank","kingdom","phylum","class","order","family","genus","species","canonicalName","authorship","usageKey","acceptedUsageKey"
"25",NA,"Nyctea scandiaca","Nyctea scandiaca (Linnaeus, 1758)",2497581,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Strigiformes","Strigidae","Bubo","Bubo scandiacus","Nyctea scandiaca","(Linnaeus, 1758) ",2497581,5959143
"26",NA,"Parus ater cypriotes","Parus ater cypriotes Dresser, 1888",4409007,"EXACT",98,"SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus ater","Parus ater cypriotes","Dresser, 1888",4409007,5844831
"27",NA,"Perdix perdix hispaniensis","Perdix perdix hispaniensis Reichenow, 1892",2473966,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Perdix","Perdix perdix","Perdix perdix hispaniensis","Reichenow, 1892",2473966,NA
"28",NA,"Perdix perdix italica","Perdix perdix italica E.Hartert, 1917",2473961,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Perdix","Perdix perdix","Perdix perdix italica","E.Hartert, 1917",2473961,NA
"29",NA,"Phalacrocorax aristotelis desmarestii","Phalacrocorax aristotelis desmarestii (Payraudeau, 1826)",4408479,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax aristotelis","Phalacrocorax aristotelis desmarestii","(Payraudeau, 1826) ",4408479,NA
"30",NA,"Phalacrocorax pygmeus","Phalacrocorax pygmeus (Pallas, 1773)",2481888,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Microcarbo","Microcarbo pygmeus","Phalacrocorax pygmeus","(Pallas, 1773) ",2481888,6066518
"31",NA,"Philomachus pugnax","Philomachus pugnax (Linnaeus, 1758)",5229387,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","Calidris pugnax","Philomachus pugnax","(Linnaeus, 1758) ",5229387,8250742
"32",NA,"Puffinus puffinus mauretanicus (Puffinus mauretanicus)","Puffinus puffinus mauretanicus Lowe, 1921",6486580,"EXACT",98,"SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus mauretanicus","Puffinus puffinus mauretanicus","Lowe, 1921",6486580,5229360
"33",NA,"Sterna albifrons","Sterna albifrons Pallas, 1764",5229215,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sternula","Sternula albifrons","Sterna albifrons","Pallas, 1764",5229215,7192406
"34",NA,"Sterna caspia","Sterna caspia Pallas, 1770",5229221,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia","Sterna caspia","Pallas, 1770",5229221,2481236
"35",NA,"Sterna sandvicensis","Sterna sandvicensis Latham, 1787",5229223,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Thalasseus","Thalasseus sandvicensis","Sterna sandvicensis","Latham, 1787",5229223,2481240
"36",NA,"Sylvia rueppelli","Sylvia rueppelli Temminck, 1823",2492947,"EXACT",98,"SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia ruppeli","Sylvia rueppelli","Temminck, 1823",2492947,6100917
"37",NA,"Tetrao tetrix tetrix","Tetrao tetrix tetrix",7340147,"EXACT",98,"SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lyrurus","Lyrurus tetrix","Tetrao tetrix tetrix","",7340147,7191070
"38",NA,"Troglodytes troglodytes fridariensis","Troglodytes troglodytes fridariensis Williamson, 1951",5739334,"EXACT",98,"ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes troglodytes","Troglodytes troglodytes fridariensis","Williamson, 1951",5739334,NA
"39",NA,"Uria aalge ibericus","Uria aalge ibericus Bernis, 1948",6486613,"EXACT",98,"SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria aalge","Uria aalge ibericus","Bernis, 1948",6486613,6065721
